"country","group","exp_pts","exp_gf","exp_gd","first_in_group","second_in_group","third_in_group","r16","qtrs","semis","finals","champ","date"
"France","A",6.69840000000011,5.09300000000022,3.66310000000014,0.681899999999941,0.229599999999991,0.070700000000001,0.972399999999909,0.768499999999932,0.459699999999966,0.311299999999982,0.190099999999995,2019-06-06
"Germany","B",7.37529999999987,6.74380000000019,5.21550000000021,0.822499999999926,0.140000000000001,0.0305999999999999,0.988899999999907,0.798899999999928,0.550499999999956,0.406299999999972,0.23929999999999,2019-06-06
"Spain","B",3.78360000000015,2.80030000000008,-0.687699999999987,0.0862000000000014,0.389699999999973,0.356699999999977,0.703499999999939,0.225899999999991,0.0856000000000014,0.0285999999999999,0.00820000000000001,2019-06-06
"Norway","A",4.78120000000024,3.92940000000021,1.05429999999996,0.231799999999991,0.450899999999967,0.214099999999993,0.846199999999923,0.492399999999962,0.231999999999991,0.0858000000000014,0.0348,2019-06-06
"Australia","C",6.19400000000037,8.02310000000009,5.14050000000019,0.401399999999972,0.428199999999969,0.168199999999998,0.989599999999907,0.547199999999956,0.289699999999984,0.0970000000000018,0.0355,2019-06-06
"Brazil","C",6.67600000000026,7.95820000000011,5.69600000000016,0.520099999999959,0.358299999999977,0.120100000000002,0.992899999999907,0.619999999999948,0.354199999999977,0.139900000000001,0.0592000000000007,2019-06-06
"England","D",6.48260000000022,6.21560000000019,3.86900000000014,0.548099999999956,0.338499999999979,0.0980000000000018,0.970199999999909,0.619599999999948,0.32809999999998,0.130300000000002,0.0545000000000005,2019-06-06
"Argentina","D",1.45299999999991,2.23419999999993,-4.93200000000018,0.0097,0.0506000000000004,0.246799999999989,0.199599999999994,0.0253999999999999,0.003,4e-04,0,2019-06-06
"Canada","E",5.54370000000024,3.9761000000002,1.90389999999987,0.448199999999967,0.336199999999979,0.1517,0.902999999999917,0.458099999999966,0.219099999999992,0.0905000000000016,0.0322999999999999,2019-06-06
"New Zealand","E",2.81550000000009,2.10269999999988,-1.69529999999989,0.0726000000000011,0.178999999999997,0.347299999999978,0.479899999999963,0.104500000000002,0.0242999999999999,0.0053,8e-04,2019-06-06
"Chile","F",2.50860000000009,2.22539999999992,-3.59380000000011,0.0035,0.0578000000000006,0.775299999999931,0.407399999999971,0.0536000000000005,0.00760000000000001,0.001,3e-04,2019-06-06
"USA","F",7.79139999999979,10.7560999999999,9.56650000000001,0.78659999999993,0.205499999999994,0.00790000000000001,0.999699999999906,0.78689999999993,0.492799999999962,0.353699999999977,0.225499999999991,2019-06-06
"Nigeria","A",2.48940000000002,2.4788,-2.53009999999997,0.0401000000000001,0.156599999999999,0.352199999999978,0.430199999999969,0.123600000000003,0.0335999999999999,0.00710000000000001,0.0017,2019-06-06
"South Africa","B",1.69919999999987,1.3042999999999,-3.77500000000014,0.0102,0.101300000000002,0.246799999999989,0.231199999999991,0.0380000000000001,0.009,0.0023,2e-04,2019-06-06
"Japan","D",5.87260000000033,6.35280000000018,3.10990000000004,0.389999999999973,0.436099999999968,0.1447,0.947999999999912,0.516799999999959,0.24199999999999,0.0763000000000012,0.0256999999999999,2019-06-06
"Jamaica","C",0.314799999999994,1.57389999999987,-11.2038999999999,2e-04,0.0019,0.0414000000000002,0.0188999999999999,8e-04,0,0,0,2019-06-06
"Netherlands","E",5.40850000000028,4.46340000000022,1.88979999999987,0.42189999999997,0.335799999999979,0.167899999999998,0.893699999999918,0.41779999999997,0.187499999999996,0.072100000000001,0.0227999999999999,2019-06-06
"Sweden","F",6.13780000000049,6.89140000000016,4.59760000000018,0.209899999999993,0.733299999999936,0.0547000000000005,0.990499999999907,0.596699999999951,0.254399999999988,0.137000000000001,0.0566000000000006,2019-06-06
"China PR","B",3.71540000000016,2.66110000000005,-0.752799999999983,0.0811000000000013,0.368999999999976,0.365899999999976,0.686699999999941,0.215999999999993,0.0782000000000012,0.0275999999999999,0.00780000000000001,2019-06-06
"Korea Republic","A",2.59990000000005,2.42189999999999,-2.1872999999999,0.0462000000000003,0.162899999999998,0.362999999999976,0.446699999999967,0.138400000000001,0.0395000000000001,0.0095,0.0021,2019-06-06
"Italy","C",4.01530000000027,5.32430000000022,0.3674,0.0783000000000012,0.211599999999993,0.670299999999942,0.846399999999923,0.244999999999989,0.0663000000000009,0.0103,0.0014,2019-06-06
"Cameroon","E",2.58690000000004,2.02499999999984,-2.09839999999988,0.0573000000000006,0.149,0.33309999999998,0.428899999999969,0.0832000000000014,0.0196999999999999,0.0045,8e-04,2019-06-06
"Thailand","F",0.768899999999966,1.16779999999991,-10.5702999999999,0,0.0034,0.162099999999998,0.0484000000000004,0.0016,1e-04,0,0,2019-06-06
"Scotland","D",3.08600000000017,3.91450000000019,-2.04689999999988,0.0522000000000005,0.174799999999997,0.51049999999996,0.577099999999953,0.121100000000002,0.0230999999999999,0.0032,4e-04,2019-06-06
"France","A",7.38579999999997,7.43350000000014,6.43430000000021,0.774299999999931,0.211099999999993,0.0143,0.999399999999906,0.833099999999925,0.504499999999961,0.342999999999979,0.207299999999993,2019-06-09
"Germany","B",8.10689999999947,6.00630000000019,5.06790000000018,0.867699999999921,0.121400000000002,0.0107,0.999399999999906,0.821299999999926,0.558199999999955,0.409999999999971,0.23749999999999,2019-06-09
"Spain","B",4.82510000000027,4.55050000000016,0.538099999999994,0.122700000000002,0.533299999999958,0.337399999999979,0.947799999999912,0.319099999999981,0.115900000000002,0.0406000000000001,0.0116,2019-06-09
"Norway","A",5.85590000000043,5.2681000000001,3.25920000000011,0.218999999999992,0.69319999999994,0.0860000000000014,0.990699999999907,0.637999999999946,0.315399999999982,0.114800000000002,0.0449000000000003,2019-06-09
"Australia","C",4.00660000000014,6.3620000000002,2.48539999999995,0.115300000000002,0.206699999999994,0.666799999999943,0.953799999999911,0.450499999999967,0.208999999999993,0.0644000000000008,0.0208999999999999,2019-06-09
"Brazil","C",6.77140000000025,6.37350000000016,4.53960000000022,0.59969999999995,0.24079999999999,0.159499999999999,0.997999999999906,0.610999999999949,0.341299999999979,0.134500000000002,0.0569000000000006,2019-06-09
"England","D",7.17290000000017,5.90000000000018,3.36720000000012,0.594299999999951,0.364899999999976,0.0382000000000001,0.994599999999907,0.589299999999951,0.324699999999981,0.131000000000002,0.0528000000000005,2019-06-09
"Argentina","D",1.41489999999991,2.21589999999992,-5.04220000000019,0.00760000000000001,0.0501000000000004,0.24129999999999,0.191999999999995,0.0177999999999999,0.0017,1e-04,0,2019-06-09
"Canada","E",5.59950000000024,4.0074000000002,1.97249999999986,0.448899999999967,0.340999999999979,0.1498,0.910499999999916,0.454099999999966,0.219899999999992,0.0916000000000016,0.0343,2019-06-09
"New Zealand","E",2.85170000000011,2.10629999999988,-1.6326999999999,0.0756000000000011,0.182499999999996,0.362299999999976,0.493799999999962,0.105900000000002,0.0281999999999999,0.00700000000000001,0.001,2019-06-09
"Chile","F",2.49060000000009,2.20539999999992,-3.6205000000001,0.0031,0.0570000000000006,0.772399999999931,0.399399999999972,0.0536000000000005,0.00720000000000001,8e-04,0,2019-06-09
"USA","F",7.77439999999983,10.8395,9.63650000000003,0.78019999999993,0.212599999999993,0.00720000000000001,0.999699999999906,0.766999999999932,0.464099999999965,0.338299999999979,0.220499999999992,2019-06-09
"Nigeria","A",1.62179999999988,1.59309999999987,-4.86410000000021,0.0022,0.0203999999999999,0.455399999999966,0.215099999999993,0.0564000000000006,0.0161,0.003,2e-04,2019-06-09
"South Africa","B",0.848499999999955,1.78349999999985,-5.3822000000002,6e-04,0.00760000000000001,0.120700000000002,0.0752000000000011,0.0151,0.003,5e-04,1e-04,2019-06-09
"Japan","D",5.87840000000034,6.28950000000021,3.10830000000004,0.380799999999974,0.448799999999967,0.140200000000001,0.948299999999912,0.471999999999964,0.227799999999991,0.0671000000000009,0.0212999999999999,2019-06-09
"Jamaica","C",0.312799999999994,1.20049999999991,-9.37119999999999,0,0.0017,0.0136,0.0098,1e-04,0,0,0,2019-06-09
"Netherlands","E",5.44580000000028,4.5164000000002,1.91779999999987,0.42269999999997,0.338499999999979,0.165899999999998,0.898599999999917,0.412899999999971,0.192999999999995,0.0746000000000011,0.0242999999999999,2019-06-09
"Sweden","F",6.1711000000005,6.97750000000017,4.69210000000017,0.216699999999992,0.725699999999936,0.0552000000000006,0.989699999999907,0.582899999999952,0.23629999999999,0.128900000000002,0.0542000000000005,2019-06-09
"China PR","B",3.32490000000004,2.1717999999999,-0.223799999999999,0.009,0.337699999999979,0.531199999999958,0.687999999999941,0.227499999999991,0.0846000000000014,0.0274999999999999,0.00740000000000001,2019-06-09
