"team","offense","defense","net_rating","rank"
"USA",3.66037605744387,-2.53016136538686,6.19053742283073,1
"Germany",3.69455155569849,-2.42831706689693,6.12286862259541,2
"France",3.36053370573931,-2.54415225330547,5.90468595904477,3
"England",3.21881731264574,-2.22925442731852,5.44807173996425,4
"Brazil",3.24754515613229,-2.14818293585068,5.39572809198297,5
"Sweden",3.23375130389114,-2.14709907417986,5.38085037807099,6
"Norway",3.22323604663991,-2.08792743842503,5.31116348506495,7
"Canada",3.06481120347112,-2.19909494329242,5.26390614676354,8
"Switzerland",3.44557614143962,-1.74422599997875,5.18980214141836,9
"Netherlands",3.28623744015671,-1.88455183608815,5.17078927624486,10
"Australia",3.26669143031764,-1.8533511458631,5.12004257618074,11
"Japan",3.23850225218995,-1.8297445956349,5.06824684782485,12
"Spain",2.96143374673501,-2.01418162815235,4.97561537488736,13
"Denmark",2.96290248222278,-1.83704739745303,4.79994987967581,14
"China PR",2.8115959389117,-1.98712634330598,4.79872228221768,15
"Korea DPR",2.71770544832828,-2.02600871050359,4.74371415883187,16
"Belgium",3.14222122967032,-1.55214566400296,4.69436689367328,17
"Colombia",2.6696826093059,-1.92668925581715,4.59637186512305,18
"Italy",3.00495431610018,-1.5583391869965,4.56329350309668,19
"Iceland",2.82970650023689,-1.67000445357632,4.49971095381321,20
"Nigeria",2.84066352079797,-1.620596898962,4.46126041975997,21
"Korea Republic",2.80558785926848,-1.64427459931847,4.44986245858695,22
"Scotland",3.00606926234622,-1.3241604837076,4.33022974605382,23
"New Zealand",2.49832874877998,-1.71909448761157,4.21742323639155,24
"Austria",2.8569041562847,-1.33265445473036,4.18955861101506,25
"Cameroon",2.52254044391292,-1.55695276104308,4.079493204956,26
"Paraguay",3.26602779699511,-0.742845920324657,4.00887371731977,27
"Mexico",2.66581796094541,-1.31757105564535,3.98338901659076,28
"Finland",2.58843503984934,-1.38862440929742,3.97705944914677,29
"Republic of Ireland",2.42277990635233,-1.4763598111399,3.89913971749223,30
"Argentina",2.51508253017476,-1.37773886756544,3.8928213977402,31
"Ukraine",2.68308090871567,-1.19604344681267,3.87912435552834,32
"Ghana",2.44600207611632,-1.42616704987406,3.87216912599038,33
"Russia",2.6253849395507,-1.20740351649369,3.83278845604439,34
"South Africa",2.23529104399045,-1.56153945818467,3.79683050217513,35
"Chile",2.25139236165222,-1.52946120174469,3.78085356339691,36
"Costa Rica",2.51591568390091,-1.1776684452236,3.69358412912451,37
"Equatorial Guinea",2.25753369588841,-1.38004175306436,3.63757544895276,38
"Poland",2.58494384337217,-1.03385298266357,3.61879682603574,39
"Romania",2.25904062535701,-1.26583456820537,3.52487519356238,40
"Wales",2.22621773062803,-1.28978456007588,3.51600229070391,41
"Portugal",2.43423004779045,-1.07302271235824,3.50725276014869,42
"Czech Republic",2.32198848581519,-0.834743629052412,3.1567321148676,43
"Hungary",2.51313634215115,-0.626742103386822,3.13987844553798,44
"C担te d'Ivoire",2.38178866588243,-0.738856716411592,3.12064538229402,45
"Croatia",1.98827482161426,-1.10438429491834,3.0926591165326,46
"Venezuela",2.16281111820676,-0.817248842838448,2.98005996104521,47
"Slovakia",2.16577981897914,-0.773278827371055,2.93905864635019,48
"Jamaica",2.20229344890406,-0.730912365810145,2.93320581471421,49
"Serbia",2.36889854948287,-0.489815218505054,2.85871376798792,50
"Senegal",1.69662061434911,-1.15095464714095,2.84757526149007,51
"Guinea",1.56621521064604,-1.28136005084402,2.84757526149006,52
"Zimbabwe",1.84042409406931,-0.947246641283501,2.78767073535281,53
"Slovenia",2.34431983049439,-0.440792818136298,2.78511264863069,54
"Trinidad and Tobago",1.85819959629663,-0.812396023290673,2.67059561958731,55
"Bosnia and Herzegovina",1.64030842351589,-1.02867950585682,2.66898792937272,56
"Uruguay",2.28537655318986,-0.382889740784415,2.66826629397428,57
"Thailand",1.98622732837024,-0.661391531723679,2.64761886009392,58
"Ecuador",1.99859226380988,-0.635922040346252,2.63451430415613,59
"Vietnam",2.02547949519149,-0.582485353371855,2.60796484856335,60
"Algeria",2.11762735565874,-0.461312768926446,2.57894012458519,61
"Northern Ireland",1.73823355763665,-0.733989578237095,2.47222313587375,62
"Tunisia",2.10202130038267,-0.35988159167763,2.4619028920603,63
"Gabon",2.66994720224965,0.259411061194463,2.41053614105518,64
"Zambia",1.88321539986272,-0.473659758646757,2.35687515850947,65
"Haiti",1.61826398104468,-0.736187249036764,2.35445123008145,66
"Turkey",1.88851081615999,-0.418460065274443,2.30697088143444,67
"Israel",1.45501019896144,-0.797454465287343,2.25246466424878,68
"Mali",1.99674891119616,-0.219866837150843,2.216615748347,69
"Greece",1.89955302759697,-0.309761778451608,2.20931480604858,70
"Namibia",1.8185771084605,-0.38002905224102,2.19860616070152,71
"Egypt",1.70133914461203,-0.476464067709431,2.17780321232146,72
"Chinese Taipei",1.41832668519725,-0.736760709264798,2.15508739446205,73
"Tanzania",1.87973916463842,-0.230452288055329,2.11019145269375,74
"Myanmar",1.87312530988414,-0.220211325540659,2.0933366354248,75
"Cuba",1.29862769687419,-0.787560842343655,2.08618853921785,76
"Panama",2.03681307473301,-0.0229884397045224,2.05980151443754,77
"Belarus",1.70098133514338,-0.330258774357596,2.03124010950097,78
"Guyana",1.67820138995019,-0.266514742199877,1.94471613215007,79
"Guatemala",1.59783810722679,-0.345235383871656,1.94307349109844,80
"Kazakhstan",1.40837887698504,-0.462952269872494,1.87133114685753,81
"Ethiopia",1.19482340568736,-0.655402896057181,1.85022630174454,82
"Bolivia",1.68377585171263,-0.0935803406564704,1.7773561923691,83
"Jordan",1.54548014934647,-0.231588418420473,1.77706856776694,84
"Peru",0.491303501912473,-1.28290344592827,1.77420694784075,85
"Kenya",1.22731706706354,-0.495288999999632,1.72260606706317,86
"Rwanda",1.75215711562128,0.0909416446737894,1.66121547094749,87
"El Salvador",1.40977281452708,-0.224844986019414,1.6346178005465,88
"Faroe Islands",1.52001040146486,-0.100822387684135,1.62083278914899,89
"Uzbekistan",1.42615256147913,-0.150553014947077,1.57670557642621,90
"Montenegro",1.68531766976191,0.254039668549617,1.43127800121229,91
"Martinique",1.57676986275802,0.194401620769272,1.38236824198875,92
"Botswana",1.39380491645912,0.0335326544087327,1.36027226205039,93
"Morocco",0.585610016861583,-0.74758662401172,1.3331966408733,94
"Puerto Rico",1.34195867370735,0.0281369697717144,1.31382170393563,95
"Honduras",1.738389586823,0.45098972262762,1.28739986419538,96
"Moldova",0.877738739879899,-0.401876906538087,1.27961564641799,97
"Albania",1.15282941699272,-0.115008082175696,1.26783749916842,98
"Bulgaria",1.44021369601606,0.209337645474015,1.23087605054204,99
"Georgia",1.22809571995823,0.0329251272716262,1.1951705926866,100
"Lesotho",2.00195965620075,0.851417716119623,1.15054194008113,101
"Malta",1.1279926765899,-0.0217643541545911,1.14975703074449,102
"Estonia",1.049558582602,-0.0836031516847928,1.13316173428679,103
"Philippines",1.27652855973556,0.213573256648998,1.06295530308656,104
"Dominican Republic",1.69339845402466,0.710812069065989,0.982586384958667,105
"Cyprus",0.974513179854295,0.0589912216558388,0.915521958198456,106
"Iran",1.41608347356454,0.50186089415305,0.914222579411489,107
"Madagascar",0.915673569221803,0.120067935714048,0.795605633507755,108
"FYR Macedonia",1.33793233584744,0.545543330036163,0.792389005811281,109
"Congo",0.665538726464995,-0.0444583600776656,0.70999708654266,110
"Papua New Guinea",1.01081281516516,0.452314709802933,0.558498105362228,111
"Nicaragua",0.474053908490287,-0.0730679240675141,0.547121832557801,112
"Kosovo",1.3217932537245,0.780900231447546,0.540893022276956,113
"Burkina Faso",0.199921817695412,-0.296477886330761,0.496399704026173,114
"Swaziland",1.38895523561455,0.915316993953124,0.473638241661429,115
"Latvia",0.926720701038685,0.518692254640093,0.408028446398592,116
"India",0.953800627617952,0.591846962378243,0.361953665239709,117
"Hong Kong",0.479360495017285,0.148269083583561,0.331091411433724,118
"New Caledonia",1.1929706233766,0.888636793846078,0.304333829530525,119
"Lithuania",0.678250846424677,0.459823613341383,0.218427233083294,120
"Malaysia",0.559084099902432,0.485964694089903,0.0731194058125295,121
"Mozambique",0.730648562867097,0.67724578688548,0.0534027759816171,122
"Luxembourg",0.95114988947101,1.12489472914006,-0.173744839669054,123
"Azerbaijan",0.821192824529917,1.10280952538455,-0.281616700854632,124
"Bermuda",0.704655396932138,1.08665895298687,-0.382003556054728,125
"Nepal",0.499261914878335,0.91131738421282,-0.412055469334484,126
"Laos",0.717808881276423,1.15300587505918,-0.435196993782753,127
"Bahrain",0.607235250391027,1.09157045166126,-0.484335201270238,128
"Barbados",-0.289584563223272,0.37271451593697,-0.662299079160243,129
"Lebanon",0.675702672295443,1.36645043736843,-0.690747765072986,130
"St. Kitts and Nevis",0.622439451017099,1.40931717643087,-0.78687772541377,131
"Palestine",0.492356483109271,1.29344022388112,-0.801083740771853,132
"Antigua and Barbuda",-0.452077840076993,0.446866469619953,-0.898944309696946,133
"Bangladesh",0.278766995057751,1.23076773150474,-0.952000736446987,134
"Cook Islands",0.0485654003940383,1.04451874345994,-0.995953343065898,135
"United Arab Emirates",-0.0824807255764642,1.07695486684658,-1.15943559242305,136
"Fiji",0.297158201993042,1.48034884121521,-1.18319063922217,137
"Samoa",-0.226210655125154,0.998157153137675,-1.22436780826283,138
"St. Lucia",-0.0468627287188876,1.27164755892579,-1.31851028764467,139
"Belize",-0.018412551243201,1.37099280020773,-1.38940535145093,140
"Andorra",0.0525329950147604,1.52005503390908,-1.46752203889432,141
"Kyrgyzstan",-0.0494943130532016,1.46609286199667,-1.51558717504987,142
"Indonesia",-0.447527042327198,1.13787327223406,-1.58540031456126,143
"Cayman Islands",0.00544556228727056,1.61824399649347,-1.6127984342062,144
"Uganda",-0.50541106084208,1.26738503812137,-1.77279609896345,145
"St. Vincent / Grenadines",-0.687376615685444,1.15985901999756,-1.847235635683,146
"Tonga",-0.692934051959678,1.29473662169258,-1.98767067365226,147
"Maldives",-0.453754202095045,1.57696107412728,-2.03071527622232,148
"Singapore",-1.0193075782015,1.18029213797596,-2.19959971617746,149
"US Virgin Islands",-1.44519117853383,0.894206144446443,-2.33939732298028,150
"Grenada",-0.334299951320238,2.04720575844359,-2.38150570976383,151
"Tajikistan",-0.463378774359778,1.93982347179292,-2.4032022461527,152
"Solomon Islands",-0.451177138368522,1.98991614813159,-2.44109328650011,153
"Sri Lanka",-0.754267142149964,1.7731469483001,-2.52741409045006,154
"Dominica",-1.02280351659667,1.52792229341117,-2.55072581000784,155
"Pakistan",-0.435024943038084,2.23435120870009,-2.66937615173818,156
"Afghanistan",-0.985845481021523,2.29168218580285,-3.27752766682437,157
"Kuwait",-0.808232777923819,2.5857220203459,-3.39395479826972,158
"Qatar",-1.55236114075123,1.96322847099032,-3.51558961174156,159
"Bhutan",-1.6591307291416,2.65290037976439,-4.31203110890599,160
"Malawi",-14.8671322940691,-0.166263184270382,-14.7008691097988,161
"Suriname",-14.3928287853273,0.481053526122516,-14.8738823114498,162
"Guam",-14.5503079692786,1.01535863290627,-15.5656666021849,163
"Comoros",-14.3070332993605,1.52708273550482,-15.8341160348653,164
"Libya",-14.7087926143217,1.19555261883169,-15.9043452331534,165
"Mauritius",-15.2245701737073,1.32404074003999,-16.5486109137473,166
"Burundi",-15.622645580417,1.24775413928999,-16.870399719707,167
"Syria",-15.5282713451282,1.7419974526008,-17.270268797729,168
"Iraq",-16.1491918235951,1.66425702000401,-17.8134488435992,169
"Aruba",-15.9402923307587,1.99887434389024,-17.939166674649,170
"Turks and Caicos Islands",-16.6562833168812,2.10228997008877,-18.75857328697,171
"British Virgin Islands",-16.1764624377425,3.74880397801853,-19.9252664157611,172
"Macau",-16.1129432151021,17.6500783107665,-33.7630215258687,173
"Liberia",-17.3892667680499,NA,NA,174
"Sierra Leone",-17.5739384790394,NA,NA,175
